Day,Price,Signal,SignalStrategyValue,FlatStrategyValue,AccumulatedCash,TotalInvested
1,60.81,Hold,0.00,1.00,1.00,1.00
2,61.23,Hold,0.00,2.01,2.00,2.00
3,61.01,Hold,0.00,3.00,3.00,3.00
4,60.40,Hold,0.00,3.97,4.00,4.00
5,59.83,Sell,0.00,4.93,5.00,5.00
6,60.03,Hold,0.00,5.95,6.00,6.00
7,60.15,Hold,0.00,6.96,7.00,7.00
8,59.94,Hold,0.00,7.94,8.00,8.00
9,59.94,Hold,0.00,8.94,9.00,9.00
10,60.00,Hold,0.00,9.94,10.00,10.00
11,60.50,Hold,0.00,11.03,11.00,11.00
12,60.67,Hold,0.00,12.06,12.00,12.00
13,60.71,Buy,13.00,13.07,0.00,13.00
14,59.97,Sell,12.84,13.91,1.00,13.84
15,59.04,Hold,12.64,14.69,2.00,14.64
16,58.80,Hold,12.59,15.63,3.00,15.59
17,59.01,Hold,12.64,16.69,4.00,16.64
18,58.49,Hold,12.53,17.54,5.00,17.53
19,58.29,Hold,12.48,18.48,6.00,18.48
20,57.86,Hold,12.39,19.34,7.00,19.39
21,57.81,Hold,12.38,20.33,8.00,20.38
22,58.43,Hold,12.51,21.55,9.00,21.51
23,58.58,Hold,12.55,22.60,10.00,22.55
24,57.99,Hold,12.42,23.37,11.00,23.42
25,58.84,Hold,12.60,24.72,12.00,24.60
26,57.96,Hold,12.41,25.35,13.00,25.41
27,58.19,Hold,12.46,26.45,14.00,26.46
28,59.21,Buy,27.68,27.91,0.00,27.68
29,59.06,Hold,27.61,28.84,1.00,28.61
30,58.85,Hold,27.51,29.73,2.00,29.51
31,58.07,Hold,27.15,30.34,3.00,30.15
32,58.98,Hold,27.57,31.82,4.00,31.57
33,59.25,Hold,27.70,32.96,5.00,32.70
34,59.36,Hold,27.75,34.03,6.00,33.75
35,60.08,Hold,28.08,35.44,7.00,35.08
36,60.29,Hold,28.19,36.56,8.00,36.19
37,60.29,Hold,28.18,37.56,9.00,37.18
38,60.33,Hold,28.21,38.59,10.00,38.21
39,60.30,Hold,28.19,39.57,11.00,39.19
40,60.44,Hold,28.26,40.66,12.00,40.26
41,60.81,Hold,28.43,41.90,13.00,41.43
42,61.08,Hold,28.55,43.09,14.00,42.55
43,60.95,Hold,28.49,44.00,15.00,43.49
44,60.71,Hold,28.38,44.83,16.00,44.38
45,60.83,Hold,28.43,45.91,17.00,45.43
46,61.40,Hold,28.70,47.34,18.00,46.70
47,61.79,Hold,28.89,48.65,19.00,47.89
48,62.06,Hold,29.01,49.87,20.00,49.01
49,62.41,Hold,29.18,51.14,21.00,50.18
50,62.70,Hold,29.31,52.38,22.00,51.31
51,62.78,Hold,29.35,53.45,23.00,52.35
52,62.22,Hold,29.09,53.97,24.00,53.09
53,62.23,Hold,29.09,54.98,25.00,54.09
54,61.99,Hold,28.98,55.76,26.00,54.98
55,62.76,Hold,29.34,57.46,27.00,56.34
56,62.78,Hold,29.35,58.48,28.00,57.35
57,62.64,Hold,29.28,59.35,29.00,58.28
58,62.63,Hold,29.28,60.34,30.00,59.28
59,62.37,Sell,29.15,61.08,31.00,60.15
60,62.38,Hold,29.16,62.09,32.00,61.16
61,62.52,Hold,29.23,63.24,33.00,62.23
62,62.63,Hold,29.28,64.34,34.00,63.28
63,62.98,Hold,29.44,65.71,35.00,64.44
64,63.10,Hold,29.50,66.84,36.00,65.50
65,62.94,Hold,29.43,67.67,37.00,66.43
66,62.87,Hold,29.39,68.59,38.00,67.39
67,62.34,Hold,29.14,69.01,39.00,68.14
68,62.39,Hold,29.17,70.07,40.00,69.17
69,62.62,Hold,29.27,71.32,41.00,70.27
70,62.90,Hold,29.41,72.65,42.00,71.41
71,62.94,Hold,29.43,73.69,43.00,72.43
72,62.03,Hold,29.00,73.63,44.00,73.00
73,62.13,Hold,29.04,74.74,45.00,74.04
74,61.90,Hold,28.94,75.46,46.00,74.94
75,61.67,Hold,28.83,76.18,47.00,75.83
76,62.58,Hold,29.25,78.30,48.00,77.25
77,63.03,Hold,29.47,79.87,49.00,78.47
78,62.99,Hold,29.45,80.82,50.00,79.45
79,63.61,Buy,80.74,82.62,0.00,80.74
80,63.85,Hold,81.04,83.92,1.00,82.04
81,63.94,Hold,81.15,85.04,2.00,83.15
82,64.11,Hold,81.38,86.28,3.00,84.38
83,63.75,Hold,80.91,86.79,4.00,84.91
84,63.82,Hold,81.00,87.88,5.00,86.00
85,63.60,Hold,80.72,88.57,6.00,86.72
86,63.40,Hold,80.47,89.30,7.00,87.47
87,63.74,Hold,80.91,90.79,8.00,88.91
88,62.63,Sell,79.49,90.19,9.00,88.49
89,62.81,Hold,79.72,91.46,10.00,89.72
90,63.00,Hold,79.96,92.74,11.00,90.96
91,62.86,Hold,79.78,93.53,12.00,91.78
92,63.40,Hold,80.46,95.33,13.00,93.46
93,63.90,Hold,81.10,97.09,14.00,95.10
94,63.97,Hold,81.19,98.19,15.00,96.19
95,63.65,Hold,80.79,98.70,16.00,96.79
96,63.90,Buy,98.10,100.08,0.00,98.10
97,63.33,Sell,97.22,100.19,1.00,98.22
98,63.01,Hold,96.75,100.70,2.00,98.75
99,63.17,Hold,96.98,101.94,3.00,99.98
100,62.55,Hold,96.03,101.95,4.00,100.03
101,63.00,Hold,96.72,103.68,5.00,101.72
102,62.88,Hold,96.54,104.48,6.00,102.54
103,63.01,Hold,96.74,105.70,7.00,103.74
104,62.72,Hold,96.30,106.22,8.00,104.30
105,63.32,Hold,97.22,108.23,9.00,106.22
106,63.56,Hold,97.58,109.64,10.00,107.58
107,64.06,Buy,109.34,111.49,0.00,109.34
108,63.98,Hold,109.22,112.36,1.00,110.22
109,63.80,Hold,108.91,113.04,2.00,110.91
110,64.30,Hold,109.76,114.93,3.00,112.76
111,64.14,Hold,109.49,115.64,4.00,113.49
112,64.24,Hold,109.66,116.82,5.00,114.66
113,64.43,Hold,109.98,118.16,6.00,115.98
114,63.79,Hold,108.89,118.00,7.00,115.89
115,64.35,Hold,109.85,120.03,8.00,117.85
116,64.31,Hold,109.77,120.95,9.00,118.77
117,64.20,Hold,109.59,121.75,10.00,119.59
118,63.73,Sell,108.79,121.86,11.00,119.79
119,63.47,Hold,108.35,122.36,12.00,120.35
120,63.65,Hold,108.65,123.71,13.00,121.65
121,63.31,Hold,108.07,124.05,14.00,122.07
122,63.81,Hold,108.92,126.02,15.00,123.92
123,63.96,Hold,109.18,127.32,16.00,125.18
124,64.62,Hold,110.31,129.64,17.00,127.31
125,64.91,Buy,128.80,131.22,0.00,128.80
126,65.05,Hold,129.08,132.50,1.00,130.08
127,65.10,Hold,129.18,133.60,2.00,131.18
128,64.70,Hold,128.39,133.78,3.00,131.39
129,64.34,Hold,127.67,134.04,4.00,131.67
130,64.73,Hold,128.45,135.85,5.00,133.45
131,64.71,Hold,128.42,136.82,6.00,134.42
132,64.80,Hold,128.59,138.00,7.00,135.59
133,64.75,Hold,128.50,138.90,8.00,136.50
134,64.38,Sell,127.74,139.09,9.00,136.74
135,64.97,Hold,128.93,141.39,10.00,138.93
136,64.80,Hold,128.59,142.00,11.00,139.59
137,64.83,Hold,128.65,143.08,12.00,140.65
138,64.76,Hold,128.52,143.93,13.00,141.52
139,65.14,Buy,143.26,145.76,0.00,143.26
140,65.38,Hold,143.79,147.30,1.00,144.79
141,65.35,Hold,143.72,148.23,2.00,145.72
142,64.65,Sell,142.18,147.64,3.00,145.18
143,64.74,Hold,142.37,148.84,4.00,146.37
144,64.15,Hold,141.08,148.49,5.00,146.08
145,64.28,Hold,141.37,149.79,6.00,147.37
146,64.26,Hold,141.34,150.76,7.00,148.34
147,64.17,Hold,141.12,151.52,8.00,149.12
148,65.27,Hold,143.55,155.13,9.00,152.55
149,65.46,Hold,143.97,156.60,10.00,153.97
150,65.56,Buy,155.17,157.81,0.00,155.17
151,65.53,Hold,155.10,158.74,1.00,156.10
152,65.33,Hold,154.65,159.28,2.00,156.65
153,65.13,Hold,154.15,159.77,3.00,157.15
154,65.14,Hold,154.19,160.80,4.00,158.19
155,65.33,Hold,154.64,162.27,5.00,159.64
156,65.46,Hold,154.94,163.58,6.00,160.94
157,65.14,Hold,154.19,163.80,7.00,161.19
158,65.53,Hold,155.10,165.76,8.00,163.10
159,65.33,Hold,154.65,166.28,9.00,163.65
160,65.64,Hold,155.37,168.06,10.00,165.37
161,66.20,Hold,156.70,170.49,11.00,167.70
162,66.26,Hold,156.84,171.65,12.00,168.84
163,66.25,Hold,156.83,172.63,13.00,169.83
164,66.17,Hold,156.62,173.40,14.00,170.62
165,65.31,Hold,154.59,172.16,15.00,169.59
166,64.43,Sell,152.52,170.85,16.00,168.52
167,64.50,Hold,152.69,172.04,17.00,169.69
168,64.30,Hold,152.20,172.49,18.00,170.20
169,63.13,Hold,149.42,170.34,19.00,168.42
170,62.83,Hold,148.72,170.54,20.00,168.72
171,63.19,Hold,149.56,172.51,21.00,170.56
172,62.81,Hold,148.68,172.48,22.00,170.68
173,62.32,Hold,147.52,172.14,23.00,170.52
174,62.53,Hold,148.02,173.73,24.00,172.02
175,63.40,Hold,150.07,177.13,25.00,175.07
176,63.76,Hold,150.92,179.14,26.00,176.92
177,62.60,Hold,148.19,176.90,27.00,175.19
178,63.35,Hold,149.94,179.99,28.00,177.94
179,64.15,Buy,180.85,183.27,0.00,180.85
180,64.28,Hold,181.20,184.63,1.00,182.20
181,63.19,Hold,178.15,182.53,2.00,180.15
182,62.91,Hold,177.35,182.71,3.00,180.35
183,62.50,Sell,176.20,182.51,4.00,180.20
184,62.44,Hold,176.03,183.34,5.00,181.03
185,62.20,Hold,175.35,183.63,6.00,181.35
186,61.38,Hold,173.05,182.23,7.00,180.05
187,60.65,Hold,170.99,181.06,8.00,178.99
188,61.04,Hold,172.08,183.21,9.00,181.08
189,62.45,Hold,176.05,188.44,10.00,186.05
190,62.13,Hold,175.14,188.46,11.00,186.14
191,61.50,Hold,173.38,187.57,12.00,185.38
192,61.51,Hold,173.42,188.61,13.00,186.42
193,62.20,Buy,189.35,191.71,0.00,189.35
194,61.86,Hold,188.31,191.66,1.00,189.31
195,61.96,Hold,188.60,192.96,2.00,190.60
196,61.99,Hold,188.71,194.07,3.00,191.71
197,61.40,Hold,186.91,193.22,4.00,190.91
198,61.83,Hold,188.24,195.59,5.00,193.24
199,63.19,Hold,192.35,200.86,6.00,198.35
200,63.15,Hold,192.26,201.76,7.00,199.26
201,63.64,Hold,193.73,204.31,8.00,201.73
202,63.12,Hold,192.15,203.64,9.00,201.15
203,63.33,Hold,192.77,205.31,10.00,202.77
204,62.80,Hold,191.18,204.60,11.00,202.18
205,62.88,Hold,191.40,205.85,12.00,203.40
206,63.10,Hold,192.10,207.60,13.00,205.10
207,62.43,Hold,190.05,206.38,14.00,204.05
208,61.50,Hold,187.22,204.31,15.00,202.22
209,61.14,Sell,186.12,204.11,16.00,202.12
210,61.03,Hold,185.80,204.76,17.00,202.80
211,61.24,Hold,186.43,206.45,18.00,204.43
212,62.25,Hold,189.50,210.85,19.00,208.50
213,61.62,Hold,187.57,209.70,20.00,207.57
214,61.13,Hold,186.08,209.03,21.00,207.08
215,62.31,Hold,189.70,214.10,22.00,211.70
216,62.53,Buy,213.34,215.82,0.00,213.34
217,62.69,Hold,213.92,217.41,1.00,214.92
218,62.53,Hold,213.37,217.86,2.00,215.37
219,63.08,Hold,215.25,220.77,3.00,218.25
220,63.08,Hold,215.23,221.75,4.00,219.23
221,62.76,Hold,214.12,221.61,5.00,219.12
222,63.15,Hold,215.47,224.01,6.00,221.47
223,63.29,Hold,215.95,225.50,7.00,222.95
224,63.26,Hold,215.85,226.40,8.00,223.85
225,63.05,Hold,215.13,226.65,9.00,224.13
226,62.76,Hold,214.14,226.60,10.00,224.14
227,62.44,Hold,213.05,226.45,11.00,224.05
228,62.68,Hold,213.87,228.32,12.00,225.87
229,62.49,Sell,213.20,228.61,13.00,226.20
230,62.60,Hold,213.60,230.03,14.00,227.60
231,63.40,Buy,231.32,233.97,0.00,231.32
232,64.02,Hold,233.59,237.26,1.00,234.59
233,64.17,Hold,234.12,238.79,2.00,236.12
234,64.42,Hold,235.05,240.74,3.00,238.05
235,64.18,Hold,234.15,240.83,4.00,238.15
236,64.19,Hold,234.23,241.90,5.00,239.23
237,63.88,Hold,233.09,241.73,6.00,239.09
238,63.88,Hold,233.08,242.71,7.00,240.08
239,63.90,Hold,233.17,243.81,8.00,241.17
240,64.28,Hold,234.52,246.22,9.00,243.52
241,64.40,Hold,234.97,247.70,10.00,244.97
242,64.54,Hold,235.48,249.24,11.00,246.48
243,64.53,Hold,235.45,250.20,12.00,247.45
244,64.90,Hold,236.82,252.65,13.00,249.82
245,65.04,Hold,237.29,254.16,14.00,251.29
246,64.34,Hold,234.75,252.44,15.00,249.75
247,64.10,Sell,233.88,252.50,16.00,249.88
248,64.23,Hold,234.35,254.01,17.00,251.35
249,64.25,Hold,234.43,255.09,18.00,252.43
250,64.98,Hold,237.09,258.99,19.00,256.09
251,65.32,Buy,258.35,261.37,0.00,258.35
252,65.18,Hold,257.79,261.81,1.00,258.79
253,65.34,Hold,258.41,263.43,2.00,260.41
254,65.39,Hold,258.61,264.63,3.00,261.61
255,65.22,Hold,257.93,264.94,4.00,261.93
256,65.61,Hold,259.48,267.53,5.00,264.48
257,65.20,Hold,257.85,266.86,6.00,263.85
258,65.04,Sell,257.20,267.18,7.00,264.20
259,65.32,Hold,258.35,269.37,8.00,266.35
260,65.78,Buy,269.15,272.25,0.00,269.15
261,65.86,Hold,269.48,273.58,1.00,270.48
262,65.93,Hold,269.74,274.85,2.00,271.74
263,65.72,Hold,268.90,274.99,3.00,271.90
264,65.54,Sell,268.15,275.22,4.00,272.15
265,65.64,Hold,268.55,276.64,5.00,273.55
266,66.33,Buy,277.40,280.57,0.00,277.40
267,66.65,Hold,278.74,282.92,1.00,279.74
268,66.52,Hold,278.19,283.37,2.00,280.19
269,66.58,Hold,278.46,284.65,3.00,281.46
270,66.74,Hold,279.09,286.29,4.00,283.09
271,66.61,Hold,278.59,286.77,5.00,283.59
272,67.28,Hold,281.37,290.64,6.00,287.37
273,67.51,Hold,282.35,292.65,7.00,289.35
274,67.70,Hold,283.13,294.45,8.00,291.13
275,67.43,Hold,282.02,294.30,9.00,291.02
276,67.53,Hold,282.42,295.72,10.00,292.42
277,67.61,Hold,282.73,297.04,11.00,293.73
278,67.58,Hold,282.65,297.96,12.00,294.65
279,67.88,Hold,283.86,300.24,13.00,296.86
280,68.04,Hold,284.55,301.97,14.00,298.55
281,68.26,Hold,285.49,303.96,15.00,300.49
282,68.63,Hold,287.00,306.57,16.00,303.00
283,68.10,Hold,284.80,305.22,17.00,301.80
284,68.13,Hold,284.91,306.33,18.00,302.91
285,68.04,Sell,284.55,306.95,19.00,303.55
286,67.49,Hold,282.25,305.47,20.00,302.25
287,67.45,Hold,282.08,306.29,21.00,303.08
288,67.44,Hold,282.04,307.24,22.00,304.04
289,68.19,Hold,285.18,311.66,23.00,308.18
290,68.43,Hold,286.16,313.73,24.00,310.16
291,68.60,Hold,286.89,315.54,25.00,311.89
292,68.22,Hold,285.32,314.81,26.00,311.32
293,68.38,Hold,285.97,316.53,27.00,312.97
294,68.54,Hold,286.62,318.24,28.00,314.62
295,69.07,Hold,288.86,321.73,29.00,317.86
296,69.33,Buy,319.94,323.94,0.00,319.94
297,69.48,Hold,320.64,325.64,1.00,321.64
298,69.44,Hold,320.48,326.48,2.00,322.48
299,69.49,Hold,320.66,327.67,3.00,323.66
300,69.67,Hold,321.49,329.51,4.00,325.49
301,69.86,Hold,322.39,331.44,5.00,327.39
302,69.65,Hold,321.44,331.46,6.00,327.44
303,68.55,Sell,316.34,327.21,7.00,323.34
304,68.81,Hold,317.54,329.45,8.00,325.54
305,69.51,Hold,320.80,333.82,9.00,329.80
306,69.63,Hold,321.31,335.35,10.00,331.31
307,69.43,Hold,320.41,335.41,11.00,331.41
308,70.11,Hold,323.54,339.70,12.00,335.54
309,70.36,Buy,337.72,341.93,0.00,337.72
310,70.32,Hold,337.53,342.74,1.00,338.53
311,70.01,Hold,336.02,342.20,2.00,338.02
312,70.13,Hold,336.59,343.79,3.00,339.59
313,70.28,Hold,337.31,345.52,4.00,341.31
314,70.17,Sell,336.78,345.98,5.00,341.78
315,70.29,Hold,337.36,347.57,6.00,343.36
316,70.82,Buy,346.93,351.22,0.00,346.93
317,70.85,Hold,347.03,352.32,1.00,348.03
318,70.56,Hold,345.61,351.88,2.00,347.61
319,70.65,Sell,346.10,353.38,3.00,349.10
320,70.63,Hold,345.95,354.23,4.00,349.95
321,70.35,Hold,344.60,353.85,5.00,349.60
322,69.60,Hold,340.93,351.07,6.00,346.93
323,70.00,Hold,342.91,354.12,7.00,349.91
324,70.49,Hold,345.26,357.54,8.00,353.26
325,70.39,Hold,344.77,358.04,9.00,353.77
326,70.11,Hold,343.40,357.61,10.00,353.40
327,69.97,Hold,342.76,357.95,11.00,353.76
328,70.11,Hold,343.45,359.67,12.00,355.45
329,69.56,Hold,340.73,357.82,13.00,353.73
330,69.82,Hold,341.98,360.13,14.00,355.98
331,69.82,Hold,341.98,361.13,15.00,356.98
332,69.97,Hold,342.74,362.93,16.00,358.74
333,70.50,Hold,345.34,366.68,17.00,362.34
334,70.96,Hold,347.61,370.10,18.00,365.61
335,70.83,Buy,365.95,370.40,0.00,365.95
336,70.88,Hold,366.21,371.66,1.00,367.21
337,70.50,Hold,364.25,370.67,2.00,366.25
338,70.78,Hold,365.67,373.11,3.00,368.67
339,70.50,Hold,364.22,372.64,4.00,368.22
340,70.69,Hold,365.26,374.69,5.00,370.26
341,71.32,Hold,368.48,379.00,6.00,374.48
342,70.52,Hold,364.35,375.75,7.00,371.35
343,70.47,Sell,364.12,376.51,8.00,372.12
344,70.49,Hold,364.20,377.59,9.00,373.20
345,70.89,Hold,366.29,380.76,10.00,376.29
346,71.41,Buy,379.95,384.53,0.00,379.95
347,71.82,Hold,382.13,387.74,1.00,383.13
348,71.91,Hold,382.61,389.22,2.00,384.61
349,72.00,Hold,383.06,390.68,3.00,386.06
350,72.00,Hold,383.09,391.71,4.00,387.09
351,72.24,Hold,384.34,393.99,5.00,389.34
352,72.14,Hold,383.86,394.50,6.00,389.86
353,71.60,Hold,380.96,392.52,7.00,387.96
354,71.35,Hold,379.60,392.12,8.00,387.60
355,71.95,Hold,382.82,396.44,9.00,391.82
356,72.43,Hold,385.38,400.09,10.00,395.38
357,72.44,Hold,385.46,401.17,11.00,396.46
358,72.50,Hold,385.72,402.45,12.00,397.72
359,72.71,Hold,386.87,404.64,13.00,399.87
360,72.74,Hold,387.03,405.81,14.00,401.03
361,72.71,Hold,386.89,406.67,15.00,401.89
362,72.48,Hold,385.64,406.36,16.00,401.64
363,72.39,Sell,385.14,406.82,17.00,402.14
364,69.70,Hold,370.85,392.73,18.00,388.85
365,70.25,Hold,373.78,396.83,19.00,392.78
366,70.05,Hold,372.71,396.70,20.00,392.71
367,69.05,Hold,367.39,392.04,21.00,388.39
368,68.25,Hold,363.14,388.50,22.00,385.14
369,69.40,Hold,369.26,396.04,23.00,392.26
370,69.35,Hold,368.96,396.73,24.00,392.96
371,69.93,Hold,372.05,401.05,25.00,397.05
372,69.95,Hold,372.18,402.19,26.00,398.18
373,70.14,Hold,373.17,404.25,27.00,400.17
374,68.88,Hold,366.46,397.99,28.00,394.46
375,69.22,Hold,368.32,401.01,29.00,397.32
376,69.50,Hold,369.79,403.61,30.00,399.79
377,69.20,Hold,368.19,402.87,31.00,399.19
378,69.99,Hold,372.39,408.46,32.00,404.39
379,70.45,Buy,407.84,412.15,0.00,407.84
380,71.57,Hold,414.35,419.73,1.00,415.35
381,71.61,Hold,414.59,420.97,2.00,416.59
382,71.75,Hold,415.40,422.79,3.00,418.40
383,71.33,Hold,412.94,421.28,4.00,416.94
384,71.04,Hold,411.29,420.60,5.00,416.29
385,70.58,Hold,408.59,418.85,6.00,414.59
386,70.78,Hold,409.72,421.01,7.00,416.72
387,70.74,Hold,409.49,421.77,8.00,417.49
388,70.91,Hold,410.50,423.81,9.00,419.50
389,71.56,Hold,414.24,428.67,10.00,424.24
390,71.63,Hold,414.67,430.12,11.00,425.67
391,71.83,Hold,415.83,432.32,12.00,427.83
392,71.92,Hold,416.32,433.83,13.00,429.32
393,72.11,Hold,417.48,436.03,14.00,431.48
394,71.65,Hold,414.82,434.25,15.00,429.82
395,72.13,Hold,417.54,438.10,16.00,433.54
396,72.36,Hold,418.93,440.56,17.00,435.93
397,73.10,Hold,423.15,446.00,18.00,441.15
398,73.21,Hold,423.82,447.70,19.00,442.82
399,73.28,Hold,424.20,449.10,20.00,444.20
400,73.14,Hold,423.41,449.27,21.00,444.41
401,73.79,Hold,427.18,454.27,22.00,449.18
402,73.64,Hold,426.34,454.38,23.00,449.34
403,73.64,Hold,426.28,455.31,24.00,450.28
404,74.29,Hold,430.07,460.36,25.00,455.07
405,74.32,Hold,430.22,461.52,26.00,456.22
406,74.24,Hold,429.75,462.02,27.00,456.75
407,73.58,Hold,425.96,458.95,28.00,453.96
408,73.75,Hold,426.92,460.97,29.00,455.92
409,74.29,Hold,430.07,465.38,30.00,460.07
410,74.62,Hold,431.98,468.45,31.00,462.98
411,74.84,Hold,433.26,470.83,32.00,465.26
412,74.96,Hold,433.95,472.58,33.00,466.95
413,74.89,Hold,433.52,473.11,34.00,467.52
414,75.15,Hold,435.05,475.79,35.00,470.05
415,74.21,Sell,429.58,470.80,36.00,465.58
416,74.90,Hold,433.60,476.21,37.00,470.60
417,74.68,Hold,432.30,475.78,38.00,470.30
418,74.47,Hold,431.14,475.51,39.00,470.14
419,75.11,Hold,434.85,480.59,40.00,474.85
420,74.93,Hold,433.81,480.44,41.00,474.81
421,75.50,Hold,437.05,485.03,42.00,479.05
422,75.71,Hold,438.29,487.41,43.00,481.29
423,75.70,Buy,482.23,488.35,0.00,482.23
424,75.66,Sell,481.98,489.09,1.00,482.98
425,74.89,Hold,477.04,485.08,2.00,479.04
426,75.25,Hold,479.37,488.45,3.00,482.37
427,75.55,Hold,481.28,491.39,4.00,485.28
428,76.20,Hold,485.42,496.62,5.00,490.42
429,76.32,Buy,492.18,498.40,0.00,492.18
430,76.63,Hold,494.18,501.43,1.00,495.18
431,76.75,Hold,494.99,503.25,2.00,496.99
432,76.36,Hold,492.47,501.69,3.00,495.47
433,75.58,Sell,487.44,497.56,4.00,491.44
434,74.10,Hold,477.84,488.76,5.00,482.84
435,75.11,Hold,484.38,496.45,6.00,490.38
436,75.20,Hold,484.96,498.05,7.00,491.96
437,74.28,Hold,479.00,492.92,8.00,487.00
438,75.43,Hold,486.48,501.62,9.00,495.48
439,75.97,Hold,489.96,506.21,10.00,499.96
440,76.38,Hold,492.57,509.91,11.00,503.57
441,76.26,Hold,491.80,510.11,12.00,503.80
442,76.47,Buy,506.15,512.51,0.00,506.15
443,75.46,Sell,499.50,506.77,1.00,500.50
444,75.84,Hold,501.98,510.29,2.00,503.98
445,75.20,Hold,497.75,506.99,3.00,500.75
446,74.39,Hold,492.35,502.49,4.00,496.35
447,73.78,Hold,488.35,499.41,5.00,493.35
448,74.87,Hold,495.56,507.78,6.00,501.56
449,74.86,Hold,495.50,508.72,7.00,502.50
450,74.69,Hold,494.37,508.56,8.00,502.37
451,75.56,Hold,500.10,515.45,9.00,509.10
452,75.88,Hold,502.25,518.67,10.00,512.25
453,75.84,Buy,512.98,519.39,0.00,512.98
454,76.26,Hold,515.82,523.27,1.00,516.82
455,76.22,Hold,515.55,524.00,2.00,517.55
456,75.18,Hold,508.48,517.81,3.00,511.48
457,75.72,Hold,512.20,522.60,4.00,516.20
458,76.87,Hold,519.95,531.50,5.00,524.95
459,77.10,Hold,521.50,534.09,6.00,527.50
460,77.04,Hold,521.13,534.71,7.00,528.13
461,77.00,Hold,520.83,535.40,8.00,528.83
462,76.82,Hold,519.64,535.18,9.00,528.64
463,77.01,Hold,520.90,537.47,10.00,530.90
464,76.32,Hold,516.23,533.66,11.00,527.23
465,76.47,Hold,517.24,535.70,12.00,529.24
466,75.13,Sell,508.18,527.32,13.00,521.18
467,75.14,Hold,508.28,528.42,14.00,522.28
468,73.36,Hold,496.24,516.91,15.00,511.24
469,71.99,Hold,486.91,508.18,16.00,502.91
470,73.05,Hold,494.11,516.70,17.00,511.11
471,72.05,Hold,487.35,510.63,18.00,505.35
472,72.47,Hold,490.22,514.64,19.00,509.22
473,73.09,Hold,494.38,520.01,20.00,514.38
474,71.19,Hold,481.53,507.49,21.00,502.53
475,72.39,Hold,489.65,517.04,22.00,511.65
476,72.93,Hold,493.33,521.94,23.00,516.33
477,74.04,Hold,500.77,530.81,24.00,524.77
478,72.03,Hold,487.18,517.40,25.00,512.18
479,71.86,Hold,486.06,517.21,26.00,512.06
480,72.00,Hold,487.01,519.22,27.00,514.01
481,70.75,Hold,478.52,511.17,28.00,506.52
482,69.80,Hold,472.13,505.34,29.00,501.13
483,70.25,Hold,475.17,509.60,30.00,505.17
484,71.53,Hold,483.83,519.88,31.00,514.83
485,71.68,Hold,484.84,521.97,32.00,516.84
486,71.69,Buy,517.91,523.05,0.00,517.91
487,72.69,Hold,525.14,531.34,1.00,526.14
488,72.57,Hold,524.30,531.50,2.00,526.30
489,73.43,Hold,530.45,538.73,3.00,533.45
490,72.66,Hold,524.92,534.11,4.00,528.92
491,71.17,Hold,514.15,524.16,5.00,519.15
492,72.58,Hold,524.38,535.58,6.00,530.38
493,72.39,Hold,523.00,535.18,7.00,530.00
494,73.11,Hold,528.17,541.47,8.00,536.17
495,73.96,Hold,534.31,548.76,9.00,543.31
496,73.31,Hold,529.61,544.94,10.00,539.61
497,73.53,Hold,531.20,547.57,11.00,542.20
498,72.46,Hold,523.51,540.64,12.00,535.51
499,72.15,Hold,521.27,539.33,13.00,534.27
500,73.10,Hold,528.10,547.39,14.00,542.10
501,73.35,Hold,529.90,550.27,15.00,544.90
502,73.63,Hold,531.89,553.33,16.00,547.89
503,73.69,Hold,532.36,554.82,17.00,549.36
504,73.30,Hold,529.54,552.88,18.00,547.54
505,75.35,Hold,544.32,569.31,19.00,563.32
506,75.89,Hold,548.25,574.42,20.00,568.25
507,75.43,Hold,544.93,571.94,21.00,565.93
508,75.61,Hold,546.23,574.31,22.00,568.23
509,75.07,Hold,542.37,571.24,23.00,565.37
510,74.90,Hold,541.10,570.91,24.00,565.10
511,75.45,Hold,545.07,576.10,25.00,570.07
512,75.86,Hold,548.07,580.27,26.00,574.07
513,75.60,Hold,546.16,579.25,27.00,573.16
514,76.57,Hold,553.20,587.72,28.00,581.20
515,76.45,Hold,552.30,587.76,29.00,581.30
516,76.33,Hold,551.43,587.83,30.00,581.43
517,76.47,Hold,552.48,589.95,31.00,583.48
518,77.31,Hold,558.48,597.35,32.00,590.48
519,77.21,Hold,557.75,597.58,33.00,590.75
520,77.75,Hold,561.65,602.76,34.00,595.65
521,77.60,Hold,560.57,602.60,35.00,595.57
522,77.15,Hold,557.39,600.18,36.00,593.39
523,77.54,Hold,560.17,604.18,37.00,597.17
524,76.93,Hold,555.80,600.46,38.00,593.80
525,76.39,Sell,551.87,597.21,39.00,590.87
526,76.44,Hold,552.26,598.64,40.00,592.26
527,76.46,Hold,552.41,599.79,41.00,593.41
528,74.50,Hold,538.21,585.38,42.00,580.21
529,74.86,Hold,540.85,589.25,43.00,583.85
530,75.40,Hold,544.71,594.46,44.00,588.71
531,75.35,Hold,544.35,595.07,45.00,589.35
532,75.30,Hold,543.99,595.67,46.00,589.99
533,76.21,Hold,550.53,603.83,47.00,597.53
534,76.51,Hold,552.73,607.25,48.00,600.73
535,75.96,Hold,548.79,603.92,49.00,597.79
536,76.96,Hold,555.95,612.79,50.00,605.95
