60.8149986267,Hold
61.2299995422,Hold
61.0050010681,Hold
60.4049987793,Hold
59.8300018311,Sell
60.0349998474,Hold
60.1549987793,Hold
59.9449996948,Hold
59.9449996948,Hold
60.0000000000,Hold
60.5000000000,Hold
60.6749992371,Hold
60.7050018311,Buy
59.9650001526,Sell
59.0400009155,Hold
58.7999992371,Hold
59.0099983215,Hold
58.4949989319,Hold
58.2949981689,Hold
57.8600006104,Hold
57.8149986267,Hold
58.4300003052,Hold
58.5849990845,Hold
57.9900016785,Hold
58.8400001526,Hold
57.9599990845,Hold
58.1949996948,Hold
59.2099990845,Buy
59.0649986267,Hold
58.8450012207,Hold
58.0699996948,Hold
58.9799995422,Hold
59.2500000000,Hold
59.3600006104,Hold
60.0750007629,Hold
60.2949981689,Hold
60.2900009155,Hold
60.3349990845,Hold
60.2999992371,Hold
60.4449996948,Hold
60.8050003052,Hold
61.0750007629,Hold
60.9500007629,Hold
60.7099990845,Hold
60.8250007629,Hold
61.3950004578,Hold
61.7900009155,Hold
62.0649986267,Hold
62.4099998474,Hold
62.7000007629,Hold
62.7849998474,Hold
62.2200012207,Hold
62.2299995422,Hold
61.9850006104,Hold
62.7599983215,Hold
62.7799987793,Hold
62.6399993896,Hold
62.6300010681,Hold
62.3650016785,Sell
62.3750000000,Hold
62.5200004578,Hold
62.6250000000,Hold
62.9799995422,Hold
63.1049995422,Hold
62.9449996948,Hold
62.8699989319,Hold
62.3400001526,Hold
62.3899993896,Hold
62.6150016785,Hold
62.9049987793,Hold
62.9449996948,Hold
62.0349998474,Hold
62.1250000000,Hold
61.8950004578,Hold
61.6650009155,Hold
62.5750007629,Hold
63.0299987793,Hold
62.9900016785,Hold
63.6100006104,Buy
63.8450012207,Hold
63.9350013733,Hold
64.1149978638,Hold
63.7500000000,Hold
63.8199996948,Hold
63.5950012207,Hold
63.4000015259,Hold
63.7449989319,Hold
62.6250000000,Sell
62.8100013733,Hold
63.0000000000,Hold
62.8600006104,Hold
63.3950004578,Hold
63.9000015259,Hold
63.9650001526,Hold
63.6500015259,Hold
63.8950004578,Buy
63.3250007629,Sell
63.0149993896,Hold
63.1650009155,Hold
62.5499992371,Hold
63.0000000000,Hold
62.8800010681,Hold
63.0099983215,Hold
62.7249984741,Hold
63.3199996948,Hold
63.5600013733,Hold
64.0550003052,Buy
63.9799995422,Hold
63.7999992371,Hold
64.3000030518,Hold
64.1399993896,Hold
64.2399978638,Hold
64.4250030518,Hold
63.7900009155,Hold
64.3499984741,Hold
64.3050003052,Hold
64.1999969482,Hold
63.7299995422,Sell
63.4700012207,Hold
63.6500015259,Hold
63.3100013733,Hold
63.8050003052,Hold
63.9599990845,Hold
64.6200027466,Hold
64.9100036621,Buy
65.0500030518,Hold
65.0999984741,Hold
64.6999969482,Hold
64.3399963379,Hold
64.7300033569,Hold
64.7149963379,Hold
64.8000030518,Hold
64.7549972534,Hold
64.3750000000,Sell
64.9749984741,Hold
64.8000030518,Hold
64.8349990845,Hold
64.7649993896,Hold
65.1399993896,Buy
65.3799972534,Hold
65.3499984741,Hold
64.6500015259,Sell
64.7350006104,Hold
64.1500015259,Hold
64.2799987793,Hold
64.2649993896,Hold
64.1650009155,Hold
65.2699966431,Hold
65.4649963379,Hold
65.5550003052,Buy
65.5250015259,Hold
65.3349990845,Hold
65.1250000000,Hold
65.1399993896,Hold
65.3300018311,Hold
65.4550018311,Hold
65.1399993896,Hold
65.5250015259,Hold
65.3349990845,Hold
65.6399993896,Hold
66.1999969482,Hold
66.2600021362,Hold
66.2549972534,Hold
66.1650009155,Hold
65.3099975586,Hold
64.4349975586,Sell
64.5049972534,Hold
64.3000030518,Hold
63.1250000000,Hold
62.8300018311,Hold
63.1850013733,Hold
62.8100013733,Hold
62.3199996948,Hold
62.5349998474,Hold
63.4000015259,Hold
63.7599983215,Hold
62.6049995422,Hold
63.3450012207,Hold
64.1500015259,Buy
64.2750015259,Hold
63.1949996948,Hold
62.9099998474,Hold
62.5000000000,Sell
62.4399986267,Hold
62.2000007629,Hold
61.3849983215,Hold
60.6549987793,Hold
61.0400009155,Hold
62.4500007629,Hold
62.1250000000,Hold
61.5000000000,Hold
61.5149993896,Hold
62.2000007629,Buy
61.8600006104,Hold
61.9550018311,Hold
61.9900016785,Hold
61.4000015259,Hold
61.8349990845,Hold
63.1850013733,Hold
63.1549987793,Hold
63.6399993896,Hold
63.1199989319,Hold
63.3250007629,Hold
62.7999992371,Hold
62.8750000000,Hold
63.1049995422,Hold
62.4300003052,Hold
61.5000000000,Hold
61.1399993896,Sell
61.0349998474,Hold
61.2400016785,Hold
62.2500000000,Hold
61.6150016785,Hold
61.1250000000,Hold
62.3149986267,Hold
62.5250015259,Buy
62.6949996948,Hold
62.5349998474,Hold
63.0849990845,Hold
63.0800018311,Hold
62.7550010681,Hold
63.1500015259,Hold
63.2900009155,Hold
63.2599983215,Hold
63.0499992371,Hold
62.7599983215,Hold
62.4399986267,Hold
62.6800003052,Hold
62.4850006104,Sell
62.5999984741,Hold
63.4000015259,Buy
64.0199966431,Hold
64.1650009155,Hold
64.4199981689,Hold
64.1750030518,Hold
64.1949996948,Hold
63.8849983215,Hold
63.8800010681,Hold
63.9049987793,Hold
64.2750015259,Hold
64.4000015259,Hold
64.5400009155,Hold
64.5299987793,Hold
64.9049987793,Hold
65.0350036621,Hold
64.3399963379,Hold
64.0999984741,Sell
64.2300033569,Hold
64.2500000000,Hold
64.9800033569,Hold
65.3249969482,Buy
65.1849975586,Hold
65.3399963379,Hold
65.3899993896,Hold
